scenario,region,variables,unit,2020,2030,2050
S4,FR,Production|Electricity|Conventional|Mix gas|Combined Cycle Turbines,TWh/year,1.85045096716026,21.1193249124107,38.9459523845674
S4,FR,Production|Electricity|Conventional|Mix gas|Open Cycle Turbines,TWh/year,0.0022059661140666,0.0115389256662758,0.671172368906457
S4,FR,Production|Electricity|Conventional|Mix gas|Cycle Turbines total,TWh/year,1.85265693327433,21.130863838077,39.6171247534738
S4,FR,Production|Electricity|Conventional|Coal,TWh/year,7.1816197376185,0,0
S4,FR,Production|Electricity|Conventional|Fuel oil and Mix gas|CHP,TWh/year,10.6904825234273,3.30913452449123,0
S4,FR,Production|Electricity|Conventional|Fuel oil|CHP,TWh/year,1.96060001387892,0,0
S4,FR,Production|Electricity|Conventional|Mix gas|CHP,TWh/year,8.72988250954833,3.30913452449123,0
S4,FR,Production|Electricity|Renewable|Photovoltaic ground fix,TWh/year,5.09069131994248,28.0641286046335,94.8710106917624
S4,FR,Production|Electricity|Renewable|Photovoltaic ground tracker,TWh/year,0,1.97945636269597E-09,9.89004566693922
S4,FR,Production|Electricity|Renewable|Photovoltaic ground total,TWh/year,5.09069131994248,28.0641286066129,104.761056358702
S4,FR,Production|Electricity|Renewable|Photovoltaic roof large,TWh/year,4.52740014320663,10.036287949174,46.1470701724004
S4,FR,Production|Electricity|Renewable|Photovoltaic roof small,TWh/year,1.71953883405519,1.89025029813122,25.4115520740189
S4,FR,Production|Electricity|Renewable|Photovoltaic roof total,TWh/year,6.24693897726182,11.9265382473052,71.5586222464194
S4,FR,Production|Electricity|Renewable|Photovoltaic total,TWh/year,11.3376302972043,39.9906668539182,176.319678605121
S4,FR,Production|Electricity|Renewable|Wind turbines|Fixed Offshore,TWh/year,0,17.2271982507288,60.9571413544195
S4,FR,Production|Electricity|Renewable|Wind turbines|Floating Offshore,TWh/year,0,2.72330512068604,102.399913490371
S4,FR,Production|Electricity|Renewable|Wind turbines|Offshore total,TWh/year,0,19.9505033714148,163.35705484479
S4,FR,Production|Electricity|Renewable|Wind turbines|Onshore total,TWh/year,29.6547337999435,63.2173607828839,171.386731477597
S4,FR,Production|Electricity|Renewable|Sea,TWh/year,0.393199662581687,0.345161997261968,0.45165326985984
S4,FR,Production|Electricity|Renewable|Biogas|CHP,TWh/year,2.02875941141346,1.78090348758121,2.33035759976893
S4,FR,Production|Electricity|Renewable|Biomass|CHP,TWh/year,1.36712583240364,1.46823067443173,1.9212172553061
S4,FR,Production|Electricity|Conventional|Waste,TWh/year,2.68009498253595,2.35266462577827,3.07852162041426
S4,FR,Production|Electricity|Renewable|Geothermal,TWh/year,0.00400622187357709,0.0456230534211352,0.0596989281036252
S4,FR,Production|Electricity|Hydro|Reservoir,TWh/year,8.66422896774603,7.60570985377792,9.9522304935255
S4,FR,Production|Electricity|Hydro|Run of river,TWh/year,45.4872020806667,39.9299767323341,52.2492100910089
S4,FR,Production|Electricity|Hydro Total,TWh/year,54.1514310484127,47.535686586112,62.2014405845344
S4,FR,Production|Electricity|Total primary electricity without flexibility,TWh/year,551.23903757796,640.498237859778,821.430004568125
S4,FR,Consumption|Electricity|Exports,TWh/year,99.4885231909473,132.324086159877,123.389695819214
